Date,C5TC,C2,C3,C5,C7,C8,C9,C10,C14,C16,C17
2016-03-01,2327.0,,,,,,,,,,
2016-03-02,2291.0,,,,,,,,,,
2016-03-03,2236.0,,,,,,,,,,
2016-03-04,2221.0,,,,,,,,,,
2016-03-07,2185.0,,,,,,,,,,
2016-03-08,2286.0,,,,,,,,,,
2016-03-09,2252.0,,,,,,,,,,
2016-03-10,2218.0,,,,,,,,,,
2016-03-11,2172.0,,,,,,,,,,
2016-03-14,2158.0,,,,,,,,,,
2016-03-15,2211.0,,,,,,,,,,
2016-03-16,2034.0,,,,,,,,,,
2016-03-17,1985.0,,,,,,,,,,
2016-03-18,2036.0,,,,,,,,,,
2016-03-21,2031.0,,,,,,,,,,
2016-03-22,1994.0,,,,,,,,,,
2016-03-23,2005.0,,,,,,,,,,
2016-03-24,2082.0,,,,,,,,,,
2016-03-29,2099.0,,,,,,,,,,
2016-03-30,2151.0,,,,,,,,,,
2016-03-31,2518.0,,,,,,,,,,
2016-04-01,3013.0,,,,,,,,,,
2016-04-04,3512.0,,,,,,,,,,
2016-04-05,3840.0,,,,,,,,,,
2016-04-06,4027.0,,,,,,,,,,
2016-04-07,4533.0,,,,,,,,,,
2016-04-08,5089.0,,,,,,,,,,
2016-04-11,5533.0,,,,,,,,,,
2016-04-12,5537.0,,,,,,,,,,
2016-04-13,5515.0,,,,,,,,,,
2016-04-14,6184.0,,,,,,,,,,
2016-04-15,7076.0,,,,,,,,,,
2016-04-18,7739.0,,,,,,,,,,
2016-04-19,8024.0,,,,,,,,,,
2016-04-20,7745.0,,,,,,,,,,
2016-04-21,7639.0,,,,,,,,,,
2016-04-22,8216.0,,,,,,,,,,
2016-04-25,8276.0,,,,,,,,,,
2016-04-26,8789.0,,,,,,,,,,
2016-04-27,9170.0,,,,,,,,,,
2016-04-28,9050.0,,,,,,,,,,
2016-04-29,8891.0,,,,,,,,,,
2016-05-03,8309.0,,,,,,,,,,
2016-05-04,7418.0,,,,,,,,,,
2016-05-05,7175.0,,,,,,,,,,
2016-05-06,7024.0,,,,,,,,,,
2016-05-09,6613.0,,,,,,,,,,
2016-05-10,5946.0,,,,,,,,,,
